sample_size,model,coef_index,true_beta_norm,coef_estimate,mean_beta_norm,bias,rmse,error_sd
500,flow,0,2.5,0.5650393813513908,2.373768598039633,-0.126231401960367,0.2957582386533595,1.0
500,probit,0,2.5,0.7505205782964403,2.2624594415462513,-0.23754055845374836,0.8079323171933747,1.0
500,logit,0,2.5,1.381243729757524,2.257813624823333,-0.24218637517666694,0.7812617701500685,1.8137993642342178
500,flow,1,1.0,0.2425767244452222,1.0,0.0,0.0,1.0
500,probit,1,1.0,0.3495322771194657,1.0,0.0,0.0,1.0
500,logit,1,1.0,0.6393827158447495,1.0,0.0,0.0,1.8137993642342178
500,flow,2,-1.4999999999999998,-0.41338345031836343,-1.747316849967318,-0.24731684996731804,0.3580133824861557,1.0
500,probit,2,-1.4999999999999998,-0.5663569281890968,-1.7225974066677512,-0.22259740666775127,0.5046042217102371,1.0
500,logit,2,-1.4999999999999998,-1.0361065927006021,-1.703943718591561,-0.2039437185915613,0.4579130324721493,1.8137993642342178
500,flow,3,1.25,0.3511382846808179,1.4877356977219676,0.23773569772196765,0.3266844936745128,1.0
500,probit,3,1.25,0.4634099846616423,1.4063568802621342,0.1563568802621343,0.42033152996155,1.0
500,logit,3,1.25,0.8458638123413216,1.3815135143202129,0.13151351432021297,0.3600615093627724,1.8137993642342178
500,flow,4,-0.8749999999999999,-0.2808370910186212,-1.1852902956939337,-0.31029029569393385,0.35560918313080014,1.0
500,probit,4,-0.8749999999999999,-0.3419711902732794,-1.0419166500377495,-0.16691665003774955,0.3295943044121594,1.0
500,logit,4,-0.8749999999999999,-0.6297387050945629,-1.0397479401532157,-0.16474794015321587,0.3152468144442736,1.8137993642342178
